*name; short_name;description;latitude;longitude;elevation;type;type_name;country;icao;frequency;rwy_landable;rwy_lenght;rwy_direc;rwy_surface;rwy_surface_name;rwy_bidirectional
AICHELBERG X    *FL07;AICXX;;48.39'967"N;008.31'183"E;790;2816;Auﬂenlandefeld;1060;;121.500;0;250;310;4;sonstiger Belag;1
AICHHALDEN      *FL05;AICYY;;48.38'667"N;008.32'733"E;755;2816;Auﬂenlandefeld;1060;;1  .  0;0;300;10;4;sonstiger Belag;1
ANSBACH  MIL;ANSBM;;49.18'500"N;010.38'300"E;466;768;Sonderlandeplatz;1060;ETEB;122.100;0;380;80;1;Asphalt;1
Aachen-Merzbrueck;AachnM;;50.49'450"N;006.11'220"E;190;768;Sonderlandeplatz;1060;EDKA;122.875;1;520;260;1;Asphalt;1
Aalen-Heidenheim/Elchingen;AalnHd;;48.46'730"N;010.15'950"E;584;768;Sonderlandeplatz;1060;EDPA;122.400;1;950;88;1;Asphalt;1
Achmer;Achmer;;52.22'730"N;007.54'870"E;54;768;Sonderlandeplatz;1060;EDXA;123.050;1;940;250;3;Gras;1
Agathazeller Moos;Agathz;;47.33'367"N;010.16'333"E;727;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Ahlhorn;Ahlhrn;;52.53'500"N;008.14'000"E;49;768;Sonderlandeplatz;1060;;;1;1100;90;1;Asphalt;1
Ahrenlohe;Ahrnlh;;53.42'080"N;009.44'700"E;10;768;Sonderlandeplatz;1060;EDHO;122.600;1;500;230;1;Asphalt;1
Aichach;Aichch;;48.28'550"N;011.08'217"E;440;1792;Segelfluggel‰nde;1060;;122.300;1;0;0;5;Belag unbekannt;1
Ailertchen;Ailrtc;;50.35'670"N;007.56'750"E;470;768;Sonderlandeplatz;1060;EDGA;123.050;1;550;220;3;Gras;1
Albstadt-Degerfeld;Albstd;;48.15'030"N;009.03'680"E;878;768;Sonderlandeplatz;1060;EDSA;125.100;1;580;270;3;Gras;1
Alkersleben-Wuelfershausen;Alkrsl;;50.50'530"N;011.04'200"E;349;768;Sonderlandeplatz;1060;EDBA;123.000;1;900;270;3;Gras;1
Allendorf-Eder;Allndr;;51.02'100"N;008.40'700"E;355;768;Sonderlandeplatz;1060;EDFQ;118.175;1;1097;290;1;Asphalt;1
Allstedt;Allstd;;51.22'800"N;011.26'800"E;284;768;Sonderlandeplatz;1060;EDBT;122.000;1;1200;250;0;Beton;1
Alsfeld;Alsfld;;50.44'933"N;009.14'933"E;290;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Altdorf-Hagenhausen;Altdrf;;49.23'200"N;011.25'283"E;534;1792;Segelfluggel‰nde;1060;;129.970;1;0;0;5;Belag unbekannt;1
Altdorf-Wallburg;Altdr1;;48.16'250"N;007.50'580"E;191;768;Sonderlandeplatz;1060;EDSW;127.150;1;495;250;3;Gras;1
Alte Ems b. Herbrum;AltEms;;53.01'883"N;007.18'283"E;2;1792;Segelfluggel‰nde;1060;;123.150;1;0;0;5;Belag unbekannt;1
Altena-Hegenscheid;AltnHg;;51.18'850"N;007.42'720"E;473;768;Sonderlandeplatz;1060;EDKD;122.200;1;600;240;3;Gras;1
Altenbachtal;Altnbc;;49.55'400"N;009.09'467"E;132;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Altenburg-Nobitz;Altnbr;;50.58'980"N;012.30'480"E;195;1024;Flughafen;1060;EDAC;123.575;1;2095;218;0;Beton;1
Altenstadt;Altnst;;47.50'100"N;010.52'200"E;741;512;milit‰rischer Flugplatz;1060;ETHA;122.100;1;700;270;3;Gras;1
Altfeld;Altfld;;49.49'917"N;009.32'233"E;344;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Altoetting;Altttn;;48.12'983"N;012.38'817"E;400;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Am Salzgittersee;AmSlzg;;52.10'183"N;010.18'950"E;81;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
Am Stauffenberg;AmStff;;51.21'700"N;009.37'650"E;350;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Amoeneburg;Amonbr;;50.47'400"N;008.54'350"E;240;1792;Segelfluggel‰nde;1060;;122.475;1;0;0;5;Belag unbekannt;1
Ampfing-Waldkraiburg;Ampfng;;48.15'830"N;012.24'750"E;415;768;Sonderlandeplatz;1060;EDNA;123.600;1;735;270;3;Gras;1
An den sieben Bergen;Andnsb;;52.03'500"N;009.48'650"E;125;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Anklam;Anklam;;53.50'000"N;013.40'400"E;5;768;Sonderlandeplatz;1060;EDCA;122.650;1;900;270;1;Asphalt;1
Ansbach-Petersdorf;Ansbch;;49.21'670"N;010.40'330"E;418;768;Sonderlandeplatz;1060;EDQF;123.650;1;780;270;3;Gras;1
Anspach/Taunus;Anspch;;50.17'400"N;008.32'200"E;336;768;Sonderlandeplatz;1060;EDFA;121.025;1;580;240;3;Gras;1
Antersberg' Lkr. Rosenheim;Antrsb;;47.57'783"N;011.59'733"E;489;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;5;Belag unbekannt;1
Arnbruck;Arnbrc;;49.07'570"N;012.59'100"E;523;768;Sonderlandeplatz;1060;EDNB;118.550;1;425;350;1;Asphalt;1
Arnsberg;Arnsbr;;51.29'080"N;007.54'020"E;242;768;Sonderlandeplatz;1060;EDLA;123.025;1;920;230;1;Asphalt;1
Arnsberg-Ruhrwiese;Arnsb1;;51.23'767"N;008.03'950"E;180;1792;Segelfluggel‰nde;1060;;123.400;1;0;0;5;Belag unbekannt;1
Aschaffenburg;Aschff;;49.56'300"N;009.03'820"E;125;768;Sonderlandeplatz;1060;EDFC;122.675;1;653;260;1;Asphalt;1
Aschersleben;Aschrs;;51.45'900"N;011.29'900"E;160;768;Sonderlandeplatz;1060;EDCQ;123.375;1;900;290;3;Gras;1
Asperden Knobbenhof;Asprdn;;51.41'450"N;006.06'217"E;16;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Asslarer Huette;Asslrr;;50.35'883"N;008.26'633"E;232;1792;Segelfluggel‰nde;1060;;129.975;1;0;0;5;Belag unbekannt;1
Attendorn-Finnentrop;Attndr;;51.08'780"N;007.56'200"E;317;768;Sonderlandeplatz;1060;EDKU;121.400;1;450;210;3;Gras;1
Aud der Schaufel bei Bad Wildungen;AuddrS;;51.05'767"N;009.08'767"E;310;1792;Segelfluggel‰nde;1060;;123.350;1;0;0;1;Asphalt;1
